to 100 correct

date	Questions asked		Percentage	Longest upstreak 	Long downstreak 	#Questions	#never asked	#Never correct	Learned	Correct	Saldo		Average Saldo			Streak		Streak (-/+/>4/>9/>24)
22-10	549					18%			4					-24					1299		?				?				0		?		?			?						?			?
23-10	531					18%			4					-28					1299		271				924				0		?		?			?						?			?
24-10	585					17%			4					-22					1580		361				1187			0		?		?			?						?			?
25-10	361					27%			5					-20					1641		164				1121			0		?		?			?						?			?
26-10	344					29%			5					-13					1641		115				1067			0		?		?			?						?			?
27-10	311					32%			4					-12					1641		76				1004			0		?		?			?						?			?
28-10	307					32%			5					-11					2126		318				1376			0		?		?			?						?			?
29-10	342					29%			3					-16					2126		165				1285			0		?		?			?						?			?
30-10	322					31%			5					-12					2126		110				1235			0		?		?			?						?			?
31-10	265					37%			4					-7					2126		0				1120			0		?		?			?						?			?
01-11	276					36%			5					-14					2126		0				1089			0		?		?			?						?			?
02-11	268					37%			4					-8					2126		0				1064			0		?		?			?						?			?
03-11	256					39%			5					-12					2126		0				1025			0		?		?			?						?			?
04-11	258					38%			5					-16					2126		0				974				0		?		?			?						?			?
05-11	237					42%			7					-9					2126		0				919				0		?		?			?						?			?
06-11	275					36%			4					-8					2126		0				865				0		?		?			?						?			?
07-11	233					42%			7					-7					2126		0				760				0		?		?			?						?			?
08-11	231					43%			6					-7					2253		32				779				0		?		?			?						?			?
09-11	228					43%			5					-9					2253		25				757				0		?		?			?						?			?
10-11	199					50%			6					-10					2253		16				725				0		?		?			?						?			?
11-11	193					51%			5					-5					2253		7				681				0		?		?			?						?			?
12-11	202					49%			6					-5					2253		0				644				0		?		?			?						?			?
13-11	218					45%			7					-13					2253		0				611				0		?		?			?						?			?
14-11	219					45%			6					-7					2253		0				590				0		?/3/?	?			?						?			?
15-11	186					53%			9					-6					2253		0				578				0		?/3/?	?			?						?			?
16-11	190					52%			7					-6					2253		0				572				0		?/3/?	?			?						?			?
17-11	222					45%			8					-7					2253		0				564				0		0/3/8	-11/-2/8	-1.837549933422104		?			?
18-11	200					50%			8					-6					2253		0				549				2		0/3/9	-11/-2/8	-1.8193519751442522		?			?
19-11	195					51%			5					-6					2253		0				526				9		0/3/9	-11/-1/9	-1.7993786063027075		?			?
20-11	197					50%			5					-7					2253		0				523				10		0/3/9	-11/-1/9	-1.7913892587660896		?			?
21-11	172					58%			9					-4					2253		0				516				14		0/3/9	-12/-1/9	-1.786063027075011		?			?
22-11	178					56%			8					-6					2253		0				483				36		0/4/9	-12/-1/9	-1.7714158899245451		?			?
23-11	211					47%			10					-10					2253		0				475				43		0/4/10	-12/-1/10	-1.7794052374611629		?			?
24-11	190					52%			5					-6					2253		0				465				53		0/4/10	-12/-1/10	-1.761207279183311		-12/0/10	511/480/307/?/?
25-11	215					46%			5					-7					2253		0				448				67		0/4/10	-12/-1/10	-1.7598757212605416		-12/0/10	585/655/316/?/?
26-11	155					64%			8					-4					2253		0				430				80		0/4/10	-13/-1/10	-1.7292498890368397		-13/0/10	633/803/324/?/?
27-11	183					54%			7					-11					2253		0				416				86		0/4/11	-13/0/10	-1.7052818464269863		-13/0/10	672/933/330/?/?
